hospital_name,city,county,state,zip_code,address,hospital_type,System,Beds,link_financial_assistance,financial_assistance_info,fap_link,policy_available,qualifying_incom_free_care,qualifying_incom_discounted_care,asset_test,provision_for_medical_bill,residency_restriction,reports_unpaid_bills,uses_third_party,sells_debt,sues_patients,garnishes_wages,restricts_care,
SAINT ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS,LAS VEGAS,,NV,,8280 W WARM SPRINGS ROAD,"Church-operated, Non-government, not-for-profit",CommonSpirit Health                        ,147,Yes,Yes,https://www.dignityhealth.org/content/dam/dignity-health/documents/legal/nevada/st-rose-dominicansan-martin-campus/fap/en_fap_st_rose_dominican_hospital_san_martin.pdf,https://www.dignityhealth.org/content/dam/dignity-health/documents/legal/arizona/arizona-general-hospital-laveen/billing--collections/en_billing_and_collections_policy.pdf,Below 200% FPL per FAP,201-400% FPL per FAP,Yes per FA application,,resitricted to patients who live within the CommonSpirit entity service area,Yes per B&C policy,Yes per B&C policy,No per B&C policy,Yes per B&C policy,Yes per B&C policy,,
SAINT MARY'S REGIONAL MEDICAL CENTER,RENO,,NV,,235 W 6TH ST,"Corporation, Investor-owned, for-profit",Prime Healthcare,305,Yes,Yes,No,No,,,,,,,,,,,,
HARMON HOSPITAL,LAS VEGAS,,NV,,2170 EAST HARMON AVENUE,"Corporation, Investor-owned, for-profit",Fundamental   (Management company)                               ,118,Yes,No,No,No,,,,,,,,,,,,
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,LAS VEGAS,,NV,,6900 N DURANGO DR,"Corporation, Investor-owned, for-profit","Universal Health Services, Inc.                            ",165,No,No,No,No,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,
UNIVERSITY MEDICAL CENTER,LAS VEGAS,,NV,,1800 W CHARLESTON BLVD,"County, Government, non-federal",No,498,No,No,"This document is misnamed on the website (this is the Financial Relief Program policy document) - will alert the POC
Pharmacy Department – Medication Management (app-umc-prod.azurewebsites.net)","Not currently, in development and expected to be posted publicly in the next few weeks per Scott Kerbs ","At or below 200% FPL, not mentioned in the Financial Relief policy but this is a practice of the hospital per Scott Kerbs","

201-300% FPL, not mentioned in the Financial Relief policy but this is a practice of the hospital per Scott Kerbs

","Yes, per the Financial Relief policy ","No, ""while income is a factor in determining eligibility for the FRP (Financial Relief Program), we do not base our discount program on the total amount of a patient’s bill. However, we do offer payment plans for longer periods of time, if needed."" per Scott Kerbs","Yes, Clark County residents only,  are eligible for UMC’s Financial Relief Program per the FInancial Relief policy","Yes, not menitoned in the policy but this is a practice of the hospital per Scott Kerbs","Yes, not menitoned in the policy but this is a practice of the hospital per Scott Kerbs","No, not menitoned in the policy but this is not a practice of the hospital per Scott Kerbs","No, not menitoned in the policy but this is not a practice of the hospital per Scott Kerbs","No, not menitoned in the policy but this is not a practice of the hospital per Scott Kerbs","No, not menitoned in the policy but this is not a practice of the hospital per Scott Kerbs",
ST ANTHONY COMMUNITY HOSPITAL,WARWICK,,NY,,15 MAPLE AVENUE -19,"Church-operated, Non-government, not-for-profit",WMC Health (Westchester Medical Center Health Network),60,Yes,Yes,BSCH Financial Assistance Policy 2-16-22.pdf (stanthonycommunityhosp.org),Billing and Collections information is included in the Financial Assistance Policy,At or below 250% FPL per the Financial Assistance Policy ,251-500% FPL per the Financial Assistance Policy ,"No, per the Financial Assistance Policy","Yes, for ""limited exposure cases"", out-of-pocket charges limited to no more than 20% of annual income per the Financial Assistance Policy","Yes, Financial Assistance limited to Warwick, and the surrounding areas in Orange County, New York, and Sussex and Passaic
Counties in New Jersey per the Financial Assistance Policy","No, per the Financial Assistance Policy","Yes, per the Financial Assistance Policy ","No, per the Financial Assistance Policy","No, per the Financial Assistance Policy","No, per the Financial Assistance Policy","Unclear, no information in the FAP or on the website",
MERCY HOSPITAL OF BUFFALO,BUFFALO,,NY,,565 ABBOTT ROAD,"Church-operated, Non-government, not-for-profit",Catholic Health System,369,Yes,Yes,https://www.chsbuffalo.org/sites/default/files/files/billing/catholic-health-healthcare-assistance-policy-english.pdf,"No publicly available Billing and Collections policy (this was sent on request)

https://drive.google.com/file/d/1q6mqND6JXB8aW6bknP93QJo4H9Umw3Ya/view?usp=sharing",At or below 209% FPLper the Financial Assistance Policy ,210-400% FPL; FAP attachment C,"No, not mentioned in the FAP and assets are not considered in the application process for healthcare assistance, it is solely based on income and family size according to Joann Cavanaugh","No, not mentioned in the FAP and not a practice of the hospital according to JoAnn Cavanaugh","If income is at or below 400% FPL, ""Additional Financial Assistance is limited to NYS, its contiguous states and Ohio. All patients regardless of where they live are given a discount to the self-pay rate."" according to the Financial Assistance Policy","Yes, according to the Billing and Collections Policy (not available on the website)","Yes, according to the Billing and Collections Policy (not available on the website)","No, not mentioned in the policies and not a practice of the hospital according to JoAnn Cavanaugh","No, not mentioned in the policies and not a practice of the hospital according to JoAnn Cavanaugh","No, not mentioned in the policies and not a practice of the hospital according to JoAnn Cavanaugh","No, not mentioned in the policies and it is not a hospital practice according to the hospital website",
NYC HEALTH + HOSPITALS/BELLEVUE ,NEW YORK,,NY,,462 FIRST AVENUE,"City, Government, non-federal",NYC Health + Hospitals,732,No,Yes,financial-assistance-operating-procedure.pdf (windows.net),No,At or below 200% FPL; Financial Assistance Brochure,201-500% FPL; Financial Assitance Brochure,"Unclear, not mentioned in the Financial Assistance Policy or on the website","Unclear, not mentioned in the Financial Assistance Policy or on the website","Yes, must have resided in NYC for at least 6 months per the Financial Assistance Policy","Unclear, not mentioned in the Financial Assistance Policy or on the website","Unclear, not mentioned in the Financial Assistance Policy or on the website","Unclear, not mentioned in the Financial Assistance Policy or on the website","Unclear, not mentioned in the Financial Assistance Policy or on the website","Unclear, not mentioned in the Financial Assistance Policy or on the website","Unclear, not mentioned in the Financial Assistance Policy or on the website",
NYC HEALTH + HOSPITALS/HARLEM ,NEW YORK,,NY,,506 LENOX AVENUE,"City, Government, non-federal",NYC Health + Hospitals,245,No,Yes,No,Yes,financial-assistance-operating-procedure.pdf (windows.net),No,At or below 200% FPL; Financial Assistance Brochure,201-500% FPL; Financial Assitance Brochure,"Unclear, not mentioned in the Financial Assistance Policy or on the website","Unclear, not mentioned in the Financial Assistance Policy or on the website","Yes, must have resided in NYC for at least 6 months per the Financial Assistance Policy","Unclear, not mentioned in the Financial Assistance Policy or on the website","Unclear, not mentioned in the Financial Assistance Policy or on the website","Unclear, not mentioned in the Financial Assistance Policy or on the website","Unclear, not mentioned in the Financial Assistance Policy or on the website",
SOUTHSHORE UNIVERSITY HOSPITAL,BAY SHORE,,NY,,301 EAST MAIN STREET,Other not-for-profit (including NFP Corporation),Northwell Health                        ,314,No,No - only from system website,Microsoft Word - Northwell Health Finanical Assistance Policy Effective January 1 2022 Final,Billing and Collections information is included in the Financial Assistance Policy,At or below 100% FPL per the Financial Assistance policy*,101-500% FPL per the Financial Assistance Policy,No; not mentioned in the FAP but not a practice of the hospital per Barbara Osborn,No; not mentioned in the FAP but not a practice of the hospital per Barbara Osborn,No; not mentioned in the FAP but not a practice of the hospital per Barbara Osborn,"No, not mentioned in the policy and this is not a practice of the hospital per Barbara Osborn","Yes, per the Financial Assistance Policy ","Not mentioned in policy, but not a practice of the hospital per Barbara Osborn","Yes, not mentioned in policy, but hospital reserves right to do so per Barbara Osborn","No, per the Financial Assistance Policy","Not mentioned in policy, but not a practice of the hospital per Barbara Osborn",
ST MARY'S HEALTHCARE,AMSTERDAM,,NY,,427 GUY PARK AVENUE,Other not-for-profit (including NFP Corporation),No,290,Yes,Yes,https://www.smha.org/wp-content/uploads/2021/07/PR-4.7-Financial-Assistance-Policy-Jul-21.pdf,https://www.smha.org/wp-content/uploads/2021/06/Billing_Collections_Policy.pdf,At or below 250% FPL per Financial Assistance policy,250-400% per Financial Assistance policy,none mentioned,none mentioned,none mentioned,Yes per the Billing and Collections policy,Yes per the Billing and Collections policy,"No, per Billing and Collections policy",Yes per the Billing and Collections policy,Yes per the Billing and Collections policy,none mentioned,
NORTHERN DUTCHESS HOSPITAL,RHINEBECK,,NY,,6511 SPRINGBROOK AVENUE,Other not-for-profit (including NFP Corporation),Nuvance Health,84,No,Yes,https://drive.google.com/file/d/1cEaJMs6-09qFpR3X-5G2SYvpdXZFfY2T/view?usp=sharing,No,"At or Below 300% of the FPL              FAP page 3, B  ","301-400% FPL FAP page 4, B","No FAP page 3, 2, paragraph A.",,,,,,,,,
NEW YORK-PRESBYTERIAN/QUEENS,FLUSHING,,NY,,56-45 MAIN STREET,Other not-for-profit (including NFP Corporation),NewYork-Presbyterian,512,No,Yes,https://drive.google.com/file/d/1xUgYYAq10wWog_zd8tEIiRX8wdNUmJs_/view?usp=sharing,https://drive.google.com/file/d/1JRcRkbPhfdK8Ol9YmKCHQsgcRERrYsnA/view?usp=sharing,At or below 100% per Schedule B FAP,101-600% FPLper Schedule B FAP,"No, per Financial Assistance policy",none mentioned,Yes; restricted to NY State residents per FAP,"No, per the Billing and Collections policy",Yes per the Billing & Collections policy,No per the Billing & Collections policy,Yes per the Billing & Collections policy,Yes per the Billing & Collections policy,none mentioned,
UNITED MEMORIAL MEDICAL CENTER,BATAVIA,,NY,,127 NORTH STREET,Other not-for-profit (including NFP Corporation),Rochester Regional Health,133,Yes,Yes,https://www.rochesterregional.org/-/media/files/billing-and-insurance/2021-ummc-financial-assistance-policy-update-july-2021-final.pdf?la=en&hash=F1566F945B003EC29E86D165B2644079C24A7458,requested 8/4/22,At or below 200% FPL; FAP Appendix A,"201-400% FPL on a sliding scale for uninsired patients; 201-250% FPL for insired patients with residual balances (copays, deductibles) per Cristina Domingues Umbrino FAP Appendix A check FAP","No; FAP page 11, B,2, C","No, not mentioned in the Financial Assistance policy but not a practice of the hospital except for extraordinary circumstances, on a case by case basis, per Cristina Domingues Umbrino",must reside in New York state; FAP page 2 under Eligibility req,"No, not mentioned in the FAP and not a practice of the hospital per Crisitna Domingues Umbrino",Yes; FAP Appendix C (unless Financial Assistance Application is pending),"No, not mentioned in the FAP and not a practice of the hospital per Crisitna Domingues Umbrino","No, not mentioned in the FAP and not a practice of the hospital per Crisitna Domingues Umbrino","No, not mentioned in the FAP and not a practice of the hospital per Crisitna Domingues Umbrino","No, not mentioned in the FAP and not a practice of the hospital per Crisitna Domingues Umbrino",
ARNOT OGDEN MEDICAL CENTER,ELMIRA,,NY,,600 ROE AVENUE,Other not-for-profit (including NFP Corporation),Arnot Health,266,No,Yes,LE-045 (arnothealth.org),arnothealthselfpay-collection-policy.pdf,Up to 200% FPL per the Financial Assistance Policy,201-400 % FPL per the Financial Assistance Policy,Yes for patients with income greater than 150% FPL per the Financial Assistance policy,"No, not mentioned in the policies and not a practice of the hospital per Ken Roberts","No, not mentioned in the policies and not a practice of the hospital per Ken Roberts","Yes, not mentioned in the policies and this is a practice of the hospital per Ken Roberts","Yes, not mentioned in the policies and this is a practice of the hospital per Ken Roberts","No, not mentioned in the policies and not a practice of the hospital per Ken Roberts","Yes, not mentioned in the policies but it is a practice of the hospital to delegate this  practice to third party collection agencies per Ken Roberts",pending,"No, not mentioned in the policies and not a practice of the hospital per Ken Roberts",
NORTH SHORE UNIVERSITY HOSPITAL,MANHASSET,,NY,,300 COMMUNITY DRIVE,Other not-for-profit (including NFP Corporation),Northwell Health                        ,811,No,No - only from system website,Microsoft Word - Northwell Health Finanical Assistance Policy Effective January 1 2022 Final,Billing and Collections information is included in the Financial Assistance Policy,At or below 100% FPL per the Financial Assistance policy*,101-500% FPL per the Financial Assistance Policy,No; not mentioned in the FAP but not a practice of the hospital per Barbara Osborn,No; not mentioned in the FAP but not a practice of the hospital per Barbara Osborn,No; not mentioned in the FAP but not a practice of the hospital per Barbara Osborn,"No, not mentioned in the policy and this is not a practice of the hospital per Barbara Osborn","Yes, per the Financial Assistance Policy ","No, not mentioned in policy, but not a practice of the hospital per Barbara Osborn","Yes, not mentioned in policy, but hospital reserves right to do so per Barbara Osborn","No, per the Financial Assistance Policy","No, not mentioned in policy, but not a practice of the hospital per Barbara Osborn",
ST JAMES HOSPITAL,HORNELL,,NY,,7329 SENECA ROAD NORTH,Other not-for-profit (including NFP Corporation),University of Rochester Medical Center,15,No,Yes,https://www.urmc.rochester.edu/MediaLibraries/URMCMedia/st-james/images/SJMH-Charity-Care-Summary.pdf,No written Billing and Collections Policy,At or below 200% FPL per the Financial Assistance Policy,"201-400% FPL, sliding scale per the Financial Assistance Policy","Yes, not mentioned in the Financial Assistance Policy but this is a practice of the hospital per Kate Kreger","Not mentioned in the policy or on the website - ""The Hospital compares 30% of the household income to the total amount of the patient's allowable medical expenses. If the total of the allowable medical expenses is greater than 30% of the household income, then the patient meets the catastrophic charity care qualification. The Hospital subtracts 30% of the household income from the allowable medical expenses to determine the amount by which the allowable medical expenses exceed the available income; this amount is then eligible for a charity care write-off."" per Kate Kreger",No restriction; not mentioned in the policy or on the website and this is not a practice of the hospital per Kate Kreger,"Yes; Not mentioned in the policy or on the website, but this is a practice of the hospital per Kate Kreger",Yes; not mentioned in the policy or on the website but this is a hospital practice per Kate Kreger ,No; not mentioned in the policy or on the website but this is not a hospital practice per Kate Kreger  ,"No; not mentioned in the policy or on the website but this is not a hospital practice and ""this would occur only in exceptionally rare circumstances"" per Kate Kreger ",No; not mentioned in the policy or on the website but this is not a hospital practice per Kate Kreger ,No; not mentioned in the policy or on the website but this is not a hospital practice per Kate Kreger ,
ST JOHN'S RIVERSIDE HOSPITAL,YONKERS,,NY,,967 NORTH BROADWAY,Other not-for-profit (including NFP Corporation),Riverside Health (?),376,No,No search function,No*,No,No free care mentioned on website,Discounted care up to 300% FPL per the Financial services website (no lower limit mentioned),"Unclear, not mentioned in the Financial Assistance Summary or the website","Unclear, not mentioned in the Financial Assistance Summary or the website","Yes; Financial Assistance is available to anyone who lives in the following counties: Westchester, Orange, Putnam, Rockland, Bronx,
Manhattan (New York), Brooklyn (Kings) and Queens' Financial Assistance Summary","Unclear, not mentioned in the Financial Assistance Summary or the website","Unclear, not mentioned in the Financial Assistance Summary or the website","Unclear, not mentioned in the Financial Assistance Summary or the website","Unclear, not mentioned in the Financial Assistance Summary or the website","Unclear, not mentioned in the Financial Assistance Summary or the website","Unclear, not mentioned in the Financial Assistance Summary or the website",
PUTNAM HOSPITAL CENTER,CARMEL,,NY,,670 STONELEIGH AVENUE,Other not-for-profit (including NFP Corporation),Nuvance Health,140,No,Yes,https://drive.google.com/file/d/1cEaJMs6-09qFpR3X-5G2SYvpdXZFfY2T/view?usp=sharing,No,"At or Below 300% of the FPL              FAP page 3, B  ","301-400% FPL FAP page 4, B","No FAP page 3, 2, paragraph A.",,,,,,,,,
MONTEFIORE ST LUKE'S CORNWALL HOSPITAL,NEWBURGH,,NY,,70 DUBOIS STREET,Other not-for-profit (including NFP Corporation),Montefiore Health Systems,151,Yes,Yes,https://www.montefioreslc.org/documents/LD-1415-Charity-Care-Financial-Assistance.501R-Compliant).2020.02).pdf,https://www.montefioreslc.org/documents/CD-008-Billing-and-Collection-Policy.docx,At or below 200% FPL; FAP page 2,201-300% FPL - 50% discount; FAP page 2,,,Yes; must reside in the state of NY; FAP page 2 under Procedure,,"Yes, for 6 months; Billing & Coll policy page 2",,,,,
ST BARNABAS HOSPITAL,BRONX,,NY,,4422 THIRD AVENUE,Other not-for-profit (including NFP Corporation),No,422,Yes,Yes,https://www.sbhny.org/wp-content/uploads/2021/11/Financial-Assistance-Policy-and-Charity-Care-Policy-Rev_11-09-2021.pdf,,"up to 100% FPL (May have to pay up to $150 - NYSDOH reg), according to the Financial Assistance Policy","101-500% FPL sliding scale, according to the Financial Assistance Policy",,,,,,,Unable to find this information in the policy or on the website,"No wage garnishment, no liens on Primary residence per the Financial Assistance Policy",Unable to find this information in the policy or on the website,
"CUBA MEMORIAL HOSPITAL, INC",CUBA,,NY,,140 WEST MAIN STREET,Other not-for-profit (including NFP Corporation),No,81,Yes,no search function,https://www.cubamemorialhospital.com/docs/FAP_PolicyProcedures.pdf,No,"up to 100% FPL (may have to pay a nominal fee); FAP page 3, d)","101-400% FPL sliding scale; FAP page 3, d)",,"Payment plan offered; capped at 10% of annual income;FAP page 3, b)",,,"Yes; FAP page 4, F, ii",,,,,
ELLENVILLE REGIONAL HOSPITAL,ELLENVILLE,,NY,,10 HEALTHY WAY,Other not-for-profit (including NFP Corporation),No,25,Yes,Yes,"FAP:
STATEMENT & PURPOSE: (erhny.org)","Billing & Collections:
STATEMENT & PURPOSE: (erhny.org)",At or below 200% FPL per the Financial Assistance Policy,201-300% FPL on a sliding scale per the Financial Assistance Policy,"No, not mentioned in the Financial Assistance Policy and not a practice of the hospital according to Bob Rue","No, however, for patients over 300%, while no discount will be applied, patients can still be considered on a case-to-case basis should they appeal with additional information (ie. Extenuating circumstances, financial hardship) according to the Financial Assistance Policy ","Yes, the Financial Assistance program is available to all New York State residents who receive emergency services at Ellenville Hospital. In addition to this, Financial Assistance is available for medically necessary services to patients who reside in one of the counties in our Primary Service Area according to the Financial Assistance Policy","Yes, although not mentioned in the policies, the collection agency used by the hospital will report unpaid bills to credit agencies if enough time has passed without resolution to unpaid bills according to Bob Rue",Yes according to the Financial Assistance Policy,"No, not mentioned in the Financial Assistance Policy and not a practice of the hospital according to Bob Rue","Yes, although not mentioned in the policies, if necessary, the collection agency will take legal action on qualifying accounts with written approval from the hospital according to Bob Rue","Yes, although not mentioned in the policies, once a judgement is obtained, the collection agency may place liens or garnish wages from patients to collect unpaid bills according to Bob Rue","Yes, although not mentioned in the policies, Patients are required to pay copays or a portion of deductibles at the time of service, according to Bob Rue",
COMMUNITY MEMORIAL HOSPITAL,HAMILTON,,NY,,150 BROAD STREET,Other not-for-profit (including NFP Corporation),No,25,Yes,no search function,Financial-Assistance-Policy-7.5.22.pdf (communitymemorial.org),Billing and Collections information is included in the Financial Assistance Policy,At or below 100% FPL per the Financial Assistance policy,101-375% FPL per the Financial Assistance Policy,"Unclear, no information on the website or in the FAP","Unclear, no information on the website or in the FAP",Restricted to patients who reside in NY State per the Financial Assistance Policy,"Unclear, no information on the website or in the FAP","Yes, per the Financial Assistance Policy","Unclear, no information on the website or in the FAP","Unclear, no information on the website or in the FAP","Unclear, no information on the website or in the FAP","Unclear, no information on the website or in the FAP",
MASSENA HOSPITAL INC,MASSENA,,NY,,1 HOSPITAL DRIVE,"State, Government, non-federal",Rochester Regional Health,25,Yes,Yes,https://www.rochesterregional.org/-/media/files/billing-and-insurance/2021-ummc-financial-assistance-policy-update-july-2021-final.pdf?la=en&hash=F1566F945B003EC29E86D165B2644079C24A7458,requested 8/4/22,At or below 200% FPL; FAP Appendix A,"201-400% FPL on a sliding scale for uninsired patients; 201-250% FPL for insired patients with residual balances (copays, deductibles) per Cristina Domingues Umbrino FAP Appendix A check FAP","No; FAP page 11, B,2, C","No, not mentioned in the Financial Assistance policy but not a practice of the hospital except for extraordinary circumstances, on a case by case basis, per Cristina Domingues Umbrino",must reside in New York state; FAP page 2 under Eligibility req,"No, not mentioned in the FAP and not a practice of the hospital per Crisitna Domingues Umbrino",Yes; FAP Appendix C (unless Financial Assistance Application is pending),"No, not mentioned in the FAP and not a practice of the hospital per Crisitna Domingues Umbrino","No, not mentioned in the FAP and not a practice of the hospital per Crisitna Domingues Umbrino","No, not mentioned in the FAP and not a practice of the hospital per Crisitna Domingues Umbrino","No, not mentioned in the FAP and not a practice of the hospital per Crisitna Domingues Umbrino",
OHIOHEALTH  GRANT MEDICAL CENTER,COLUMBUS,,OH,,111 SOUTH GRANT AVENUE,"Church-operated, Non-government, not-for-profit",OhioHealth,471,no ,yes,ohiohealth-fap.pdf,no,Below 200% FPL,200-400% FPL,"yes, on application","Yes, on a case by case basis",no,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,
MERCY ST VINCENT MEDICAL CENTER,TOLEDO,,OH,,2213 CHERRY STREET,"Church-operated, Non-government, not-for-profit",Bon Secours Mercy Health,370,yes,yes,https://www.mercy.com/patient-resources/financial-assistance,https://www.mercy.com/patient-resources/financial-assistance,Below 200% FPL,201-400% FPL,Yes,"Yes, for patients with bills that exceed 25% of income",Yes,Yes,Yes,"Yes; mentioned in policy on p. 6, and is a practice of the hospital, according to Maureen Richmond",No,No,No,
OHIOHEALTH DUBLIN METHODIST HOSPITAL,DUBLIN,,OH,,7500 HOSPITAL AVENUE,"Church-operated, Non-government, not-for-profit",OhioHealth,120,no,no,ohiohealth-fap.pdf,,Below 200% FPL,200-400% FPL,"yes, on application","Yes, on a case by case basis",no,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,
MERCY HEALTH-URBANA HOSPITAL,URBANA,,OH,,904 SCIOTO STREET,"Church-operated, Non-government, not-for-profit",Bon Secours Mercy Health,25,yes,yes,https://www.mercy.com/patient-resources/financial-assistance,https://www.mercy.com/patient-resources/financial-assistance,Below 200% FPL,201-400% FPL,Yes,"Yes, for patients with bills that exceed 25% of income",Yes,Yes,Yes,"Yes; mentioned in policy on p. 6, and is a practice of the hospital, according to Maureen Richmond",No,No,No,
TRUMBULL REGIONAL MEDICAL CENTER,WARREN,,OH,,1350 EAST MARKET STREET,"Corporation, Investor-owned, for-profit",Steward Health Care, ,no,no,,,,,,,,,,,,,,
ADAMS COUNTY REGIONAL  MEDICAL CENTER,SEAMAN,,OH,,230 MEDICAL CENTER DRIVE,"County, Government, non-federal",No,25,no,yes,No,No,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,
ADENA FAYETTE MEDICAL CENTER,WASHINGTON CH,,OH,,1430 COLUMBUS AVENUE,"County, Government, non-federal",Adena Health System,25,no,yes,financial-assistance-policy.pdf (adena.org),PolicyStat (adena.org),Below 200% FPL,201-400% FPL,Yes,No,Yes,Yes,yes,Unclear - not mentioned in policy,Yes,Yes,Unclear - not mentioned in policy,
WYANDOT MEMORIAL HOSPITAL,UPPER SANDUSKY,,OH,,885 NORTH SANDUSKY AVENUE,"Hospital district or authority-Government, non-federal",No,25,no,no,no,no,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,Unclear - no avaliable policy,
HIGHLAND DISTRICT HOSPITAL,HILLSBORO,,OH,,1275 NORTH HIGH STREET,"Hospital district or authority-Government, non-federal",No,25,no,no seach function,file-Hospital-Care-Assurance-Program-HCAP-and-Financial-Assistance-Program-FAP-01122022-2.pdf (rackcdn.com),Policy/Procedure Title: (rackcdn.com),Below 100% FPL,101-200% FPL,No,No,"No, except HCAP, which is limited to Ohio residents",yes,yes,"No. Not mentioned in policy, but not a practice, according to Meghann Ackley, VP of Finance",Yes,yes,Yes,
SUMMA HEALTH SYSTEM,AKRON,,OH,,525 EAST MARKET STREET,Other not-for-profit (including NFP Corporation),Summa Health,688,no ,yes,https://www.summahealth.org/patientvisitor/insuranceandbilling/financialassistance,https://www.summahealth.org/patientvisitor/insuranceandbilling/financialassistance,Below 250% FPL,250-400% FPL,Yes,On a case-by-case basis,No,Yes,yes,yes,yes,yes,yes,
WAYNE HEALTHCARE,GREENVILLE,,OH,,835 SWEITZER STREET,Other not-for-profit (including NFP Corporation),No,53,yes,yes,WAYNE HOSPITAL (waynehealthcare.org),no,"Free care is provided only when care is deemed medically necessary and after uninsured patients have been found to meet all financial criteria, including household income at or below 100% FPG.","Uninsured patients who do not qualify for free care (e.g., due to their household income) will receive a discount of 25% off of gross charges for medically necessary services. If household income is over 100% FPG but at or below 200% FPG, then patients may receive a discount 
based on the sliding scale attached as Appendix B. ",not listed,,,,,,,,,
PROMEDICA TOLEDO HOSPITAL,TOLEDO,,OH,,2142 NORTH COVE BOULEVARD,Other not-for-profit (including NFP Corporation),ProMedica Health System,815,no,yes,Microsoft Word - Financial Assistance Policy English (Plain Language Summary) needs revision 12-14-20.docx (promedica.org),https://www.promedica.org/assets/documents/patient-resources/uninsured_discount_policy.pdf,Less than 200% FPL,201-400% FPL,Yes,No,Yes - resident in the Ohio or Michigan ProMedica defined service area. ,yes,yes,"Not mentioned in policy, but not a practice of the hospital, according to Tausha Moore",yes,yes (but no liens on property),"Not mentioned in policy, but not a practice of the hospital, according to Tausha Moore",
CLEVELAND CLINIC MERCY MEDICAL CENTER,CANTON,,OH,,1320 MERCY DRIVE NW,Other not-for-profit (including NFP Corporation),Cleveland Clinic Health System,355,"Yes, bottom of page",Yes,https://my.clevelandclinic.org/-/scassets/files/org/patients-visitors/billing/financial-assistance/mercy-hospital/63-financial-assistance-program-policy-english.pdf?la=en,Included in FAP,Below 250% FPL,"N/A

Mercy Health does not provide partially discounted care, according to Angela Smith",No,"Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Angela Smith",Yes (Ohio),No,Yes,"Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Angela Smith","Yes, on a case by case basis",No,"Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Angela Smith",
FAIRFIELD MEDICAL CENTER,LANCASTER,,OH,,401 NORTH EWING STREET,Other not-for-profit (including NFP Corporation),No,222,yes,yes,https://www.fmchealth.org/patients-visitors/billing-financial-assistance/,https://www.fmchealth.org/patients-visitors/billing-financial-assistance/,Below 200% FPL,200-300% FPL,Yes,no,not stated,yes,yes,yes,yes,yes,yes ,
UNIVERSITY HOSPITALS RICHMOND MEDICAL CENTER,RICHMOND HEIGHTS,,OH,,27100 CHARDON ROAD,Other not-for-profit (including NFP Corporation),a Subsidiary of UH Regional Hospitals,59,yes,yes,Microsoft Word - CP-13.doc (uhhospitals.org),Included in FAP,Below 250% FPL,251-400% FPL,Yes,"Yes, on case by case basis","Yes, service area",yes,yes,yes,yes,yes,yes ,
LAKE HEALTH,CONCORD,,OH,,7590 AUBURN ROAD,Other not-for-profit (including NFP Corporation),University Hospitals,352,yes,no,https://www.uhhospitals.org/-/media/Files/MyUHCare/GOV-2-UH-Financial-Assistance-Policy.pdf?la=en&hash=870177F987ACBE2368B4A3366B069DE0E834CB8A,https://www.uhhospitals.org/-/media/Files/MyUHCare/uh-hospital-credit-and-collection.pdf?la=en&hash=2F1B01E586E5BB8D5536C254B3B12E244BA8EC3A,Below 250% FPL,251-400% FPL,Yes,"Yes, if income is 401-600% FPL and bills are larger than 10% of income or if income is greater than 600% FPL and bills are more than 15% of income",Yes,yes,yes,"yes; allowed in policy, but not a practice, according to George Stamatis","yes; allowed in policy, but not a practice, according to George Stamatis","yes; allowed in policy, but not a practice, according to George Stamatis",yes ,
COSHOCTON REGIONAL MEDICAL CENTER,COSHOCTON,,OH,,1460 ORANGE STREET,Other not-for-profit (including NFP Corporation),Prime Healthcare,44,no,yes,Financial-Assistance-Full-Policy-7.1.21.docx (live.com),no listed within the FAP,Less than 200% FPL,201-400% FPL,,,,yes not prior to 240 days,yes,,,,,
